"","collector_name_s","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15","x16"
"11","Shelby Lawson",2019-09-16,09:10:00,"AM","Main Quad","Morrill Hall_242","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lynette Strickland",2019-09-16,07:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Xing Liu",2019-09-16,17:30:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Kira Long",2019-09-16,17:00:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Rachel Skinner",2019-09-16,07:35:00,"AM","North Quad","Beckman Institute_228","Yes","North","Scarlet Tanager_Piranga olivacea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP1ZY7u2IKQGl-JSRViNlDK0wSFR7w9IQ9fAEGl?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPwoF4eofyYHtMzF7Xjs-MCuaij1KkePvTI-xRx?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"16","Rachel Skinner",2019-09-16,08:14:00,"AM","North Quad","Grainger Engineering Library Information Center_324","Yes","South","Common Yellowthroat_Geothlypis trichas","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOIxrNdwN8qtqJNDQbbc9yHkpBAerY4b6vr6XJP?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNvDIedqsp25pAQsUefnbKkOjroFhNb9-6xkw3q?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"17","Rachel Skinner",2019-09-16,08:03:00,"AM","North Quad","Electrical and Computer Engineering_409","Yes","South","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPLY-Jsq-alB1pK4P7QcRHvF1Jp2NY2bXCKifMJ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPUK-ypqCQF225WWreuehNWM1vNKryEW736LOfF?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"18","Rachel Skinner",2019-09-16,08:38:00,"AM","North Quad","Electrical and Computer Engineering_409","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPp0ROFeW8jVzdUudhXikUfeo7ZvZFDLm4lI4k8?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNOFRRAiETbI5XIeQ9_EswHBJ46WzipIsSVpWe3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"19","Rachel Skinner",2019-09-16,08:01:00,"AM","North Quad","Electrical and Computer Engineering_409","Yes","South","Black-and-white Warbler_Mniotilta varia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOOH1vwN5vPP_SemmtBhqfPwTVsY7rWaFrrlJnc?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMcsCs30ojEoD4EJ5KhCr75JC2eFVqm1LPhE0mV?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"20","Rachel Skinner",2019-09-16,07:43:00,"AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Alive","Bird flew away","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipM-gJFY2eMQxofPbTZ1ekfS97o1N3U7UuRJWQ1c?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"21","Rachel Skinner",2019-09-16,07:44:00,"AM","North Quad","Beckman Institute_228","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPOpAF86a93fYUYDXUDWs1cFzUAvjVbP240Pcc4?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"22","Rachel Skinner",2019-09-16,07:45:00,"AM","North Quad","Beckman Institute_228","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP7qiOcUl6lGAHH6RSZAjnP-6bq6CREKZJCTvh5?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"23","Rachel Skinner",2019-09-16,08:11:00,"AM","North Quad","Grainger Engineering Library Information Center_324","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMX5Kkoobd9cpgQfyy-6DK0-jVzg-i7tJhYsSXR?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old so didn't collect, just took a picture to document its presence",NA,NA,NA
"24","Ilona Menel & Amy Anderson",2019-09-16,17:50:00,"PM","North Quad","Beckman Institute_228","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNqNUlOsZGF3ue7JqgPRqt8goEkbs2hJq0vmIJ8?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPJzlxSoXwnZ90VYL39D0gioPSxrt_9WVr4ACtN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"25","Ilona Menel & Amy Anderson",2019-09-16,17:48:00,"PM","North Quad","Beckman Institute_228","Yes","North","Northern Parula_Setophaga americana","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNI7mW6fhErTUcQedIefxQoJL_DRfHerZHChBdN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMEvEJ2A3T0b3DbfVYswaweAgEzAdZQ-9sxYXUx?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"26","Ilona Menel & Amy Anderson",2019-09-16,18:13:00,"PM","North Quad","Beckman Institute_228","Yes","South","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMo3vXFAa6znS8ahEE74ggDkPsJu9IYu58kthxq?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMTIc0h69Mpf6MRhK9cZEr2YhQSy1CzpJRIF86Z?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"27","Ilona Menel & Amy Anderson",2019-09-16,18:18:00,"PM","North Quad","Beckman Institute_228","Yes","South","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMwaW6SqRJvHTOeIrZ_ukNW4RQF011OiPh6g6oJ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNmWE2JQynLXzDzEx16ILVAlXzIL-7-11_73PH1?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"28","Ilona Menel & Amy Anderson",2019-09-16,18:28:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMZCVvUYK_RTxp7yOGEGwL6hCESkeatknRxFNGk?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOgM2tx6W7QRdv0WGxonQakA_f99VikWFpgbE0-?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found bird in inlet on West side of the building; window was South facing",NA,NA
"29","Ilona Menel & Amy Anderson",2019-09-16,18:18:00,"PM","North Quad","Beckman Institute_228","Yes","South",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA,NA
"30","Ilona Menel & Amy Anderson",2019-09-16,18:09:00,"PM","North Quad","Beckman Institute_228","Yes","South","American Redstart_Setophaga ruticilla
","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Male redstart found in freezer -ABL",NA,NA,NA,NA
"31","Ilona Menel & Amy Anderson",2019-09-16,17:58:00,"PM","North Quad","Beckman Institute_228","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPz2u60T9bp_nc89C5qKRylzMzKGJ0sVg9ZUc5V?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"32","Ilona Menel & Amy Anderson",2019-09-16,18:00:00,"PM","North Quad","Beckman Institute_228","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP1YelqYkmsKFPDAGGsjTmcxyI5usp6DUAVjmLr?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"33","Ilona Menel & Amy Anderson",2019-09-16,18:05:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOgZjuQZHCD1dVJzic_QW9RLx5B_zgghiropnym?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"34","Ilona Menel & Amy Anderson",2019-09-16,18:09:00,"PM","North Quad","Beckman Institute_228","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNCo90miyFHfpiDBiUVv5QybHBC_oezkFIuRK35?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"35","Ilona Menel & Amy Anderson",2019-09-16,18:11:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPFO3IFNMWfVlYyvRKRr8wq8lVWWlRkAPaxSp5Y?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"36","Ilona Menel & Amy Anderson",2019-09-16,18:11:00,"PM","North Quad","Beckman Institute_228","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMRLpzdnMG08s7zEQUgh1aGF-R3auW-1dsmicCm?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"37","Ilona Menel & Amy Anderson",2019-09-16,18:11:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO5USsUXBQzhwuy2hA06_WeSRW0BjqRnlRc1aJX?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"38","Ilona Menel & Amy Anderson",2019-09-16,18:12:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipObaKu35m6pPbgg7X3-ADwma1kTHw7J6LWZ3QoP?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"39","Ilona Menel & Amy Anderson",2019-09-16,18:14:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPEjoFYHTPO7vsPDd4EFl42ReEH2FXokXqsaGKj?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"40","Ilona Menel & Amy Anderson",2019-09-16,18:17:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNJKwxiukE1CKQiLoTy6SB_iF1rX__HtVVeXlTZ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"41","Ilona Menel & Amy Anderson",2019-09-16,18:17:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN89rvlv5LlufA6kOPhPm77Kiuvj3fdm_SMBtsV?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"42","Ilona Menel & Amy Anderson",2019-09-16,18:20:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMvZ8UsZiv-DQM0wzVp8dnTRMCvtbOdwkgFs9D2?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found in Pavillion. Bird was very old; took picture to document presence",NA,NA,NA
"43","Ilona Menel & Amy Anderson",2019-09-16,18:22:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPgZb834vym0ieqG625l-C7OSfMLPyto34GVrEC?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"44","Ilona Menel & Amy Anderson",2019-09-16,18:23:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPqN6P7F-5OTI8IfB5RwHLLPxNPulPHqyfK6GN3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"45","Ilona Menel & Amy Anderson",2019-09-16,18:24:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMHqE-U0C1JQa5tT0tJKZg7SCtsoM94wa6d2EWQ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"46","Ilona Menel & Amy Anderson",2019-09-16,18:26:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Golden-winged Warbler_Vermivora chrysoptera","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMgA7-lDtHs7k_6UCgiziwb5afjIQmn89Ku0yF3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"47","Ilona Menel & Amy Anderson",2019-09-16,18:30:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","East","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO8Cwx935IolgR7uDkYcqas2-JoYMM_t0ixpq_J?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"48","Gabby Jukkala",2019-09-16,07:20:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","East","Black-and-white Warbler_Mniotilta varia","Dead","Other (explain in notes)","https://photos.app.goo.gl/TKW1eehzwvBXSQuZ9","I had originally picked it up to bring back to the freezer because I didn't think it was in too bad of shape, but when I got to the freezer I realized there were already maggots on the bird, so I threw it away. I uploaded photos to the album though for proof/verification.",NA,NA,NA
"49","Donglai Li & Tianlin Pan",2019-09-16,17:40:00,"PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Red-eyed Vireo_Vireo olivaceus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOz2ZWMGDZNLZjK-ov0KNPb3d-md8n9oUBm_bQ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Die within several hours",NA,NA,NA
"50","Donglai Li & Tianlin Pan",2019-09-16,18:10:00,"PM","South Quad","Temple Hoyne Buell Hall_339","Yes","North","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNaSMazStXuzP84VXE5vdAGydd6GCIKJdacD3I?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Die within several hours",NA,NA,NA
"51","Shelby Lawson",2019-09-17,08:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Kira Long & Xing Liu",2019-09-17,18:10:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","South","Unidentifiable","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOqfgd6iWipwzwjyYf9KruOHVS01AHHNgixMdSN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR    https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPLnxAt2UWjyrfptZbWhzvuSH-Vy6oWUfOQJ0od?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird on south side of chemical and life sciences laboratory (B, C) at the MCB door for PEEC seminars",NA,NA,NA
"53","Kira Long & Xing Liu",2019-09-17,18:10:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","South","Unidentifiable","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMfAoJUldoD3xZqSg0gUtP6mP4b3LhKalVLtgHm?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird on south side of chemical and life sciences laboratory (B, C) at the MCB door for PEEC seminars",NA,NA,NA
