"","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15"
"11",2020-09-14,"18:40","PM","North Quad","Grainger Engineering Library Information Center_324","Yes","West","Unidentifiable","Dead","Other (explain in notes)","https://photos.app.goo.gl/cfTLtV7ZpdriLZyY6","Decomposed bird still bring back but shouldn't sorry",NA,NA
"12",2020-09-14,"18:46","PM","North Quad","Grainger Engineering Library Information Center_324","Yes","North","American Crow_Corvus brachyrhynchos","Dead","Other (explain in notes)","https://photos.app.goo.gl/jZrKB8KL1tojDYBr6","Decomposed bird still bring back but shouldn't sorry I think it the crow because of the black feather and the size so not sure)",NA,NA
"13",2020-09-14,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/1xuoWcgy3TWiywhw8",NA,NA,NA
"14",2020-09-14,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/t9zeL6cdmCWcPjDQ9",NA,NA,NA
"15",2020-09-14,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/QUPAs8fJo3eg7WL26","Will drop off what I have sometime this week",NA,NA
"16",2020-09-14,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/DD98cEqhQ5HB1aV86",NA,NA,NA
"17",2020-09-14,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Other (explain in notes)","https://photos.app.goo.gl/8FmV3CEYPxPvGP7F9","Head and other parts covered in ants, thrown under bushes",NA,NA
"18",2020-09-14,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Other (explain in notes)",NA,"Head and other parts covered in ants, thrown under bushes",NA,NA
"19",2020-09-14,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Other (explain in notes)","https://photos.app.goo.gl/FE2mdRMdmqVc3QY6A","Head and other parts covered in ants, thrown under bushes",NA,NA
"20",2020-09-14,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Ovenbird_Seiurus aurocapilla","Dead","Other (explain in notes)","https://photos.app.goo.gl/swvxExH4kTzP7doC9","Head and other parts covered in ants, thrown under bushes",NA,NA
"21",2020-09-14,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Black-throated Green Warbler_Setophaga virens","Alive","Bird flew away","https://photos.app.goo.gl/it2AjcehFbCWVp4FA","Amazing pictures and video",NA,NA
"22",2020-09-14,"7:00","AM","North Quad","Coordinated Science Laboratory_148","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/JtBCnHyet91DHiwL8",NA,NA,NA
"23",2020-09-14,"7:00","AM","North Quad","Beckman Institute_228","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/bkp6McEAwJ4qw9tQ7",NA,NA,NA
"24",2020-09-14,"7:45","AM","N/A","Fred Turner Student Services Building_188","Yes","South","Chestnut-sided Warbler_Setophaga pensylvanica","Alive","Bird flew away","https://photos.app.goo.gl/JCwhUsKLUz2tTq8MA","Amazing pictures and video",NA,NA
"25",2020-09-14,"17:40","PM","South Quad","Integrated Bioprocessing Research Laboratory_1233","Yes","West","American Robin_Turdus migratorius","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"Very decomposed",NA,NA
"26",2020-09-14,"18:00","PM","South Quad","Education Building_160","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/rVawzUaG13CTEaPU9",NA,NA,NA
"27",2020-09-15,"7:44","AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Blackburnian Warbler_Setophaga fusca","Dead","Other (explain in notes)","https://photos.app.goo.gl/cHcU1ygxwUFQzH2c8","Bird in our ASL freezer, will move to Morrill after I've finished all my surveys",NA,NA
"28",2020-09-15,"8:13","AM","South Quad","Law Building_156","Yes","East","Red-eyed Vireo_Vireo olivaceus","Alive","Bird flew away","https://photos.app.goo.gl/9wFneCpzLopv3sN3A",NA,NA,NA
"29",2020-09-15,"6:40","AM","North Quad","Beckman Institute_228","Yes","East","Mourning Warbler_Geothlypis philadelphia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/V3A9hYK3qwczUgVFA",NA,NA,NA
"30",2020-09-15,"6:50","AM","North Quad","Beckman Institute_228","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/dCEED3AWUgwbSh456",NA,NA,NA
"31",2020-09-15,"6:50","AM","North Quad","Beckman Institute_228","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/iXHyQNZSYtfN6ET37",NA,NA,NA
"32",2020-09-15,"17:44","PM","North Quad","Beckman Institute_228","Yes","North","Black-and-white Warbler_Mniotilta varia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Side View",NA,NA,NA
"33",2020-09-15,"17:57","PM","North Quad","Beckman Institute_228","Yes","West","Cape May Warbler_Setophaga tigrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Side View","Card is wrong, building face is west, they hit it flying east",NA,NA
"34",2020-09-15,"17:57","PM","North Quad","Beckman Institute_228","Yes","West","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Side View","Card is wrong, building face is west, they hit it flying east",NA,NA
"35",2020-09-15,"18:20","PM","North Quad","Electrical and Computer Engineering_409","Yes","North","Unidentifiable","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Side View",NA,NA,NA
"36",2020-09-15,"18:27","PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipM5RurNNCoQZhjItX3RGjmtH0BaHKefXJ4leMTP?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Just bones",NA,NA
"37",2020-09-15,"15:30","PM","Main Quad","Carl R. Woese Institute for Genomic Biology_1080","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNlrlmGu2Gs-HAP3ACRksbRHmO228bPRxybrN9e?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"38",2020-09-15,"15:30","PM","Main Quad","Carl R. Woese Institute for Genomic Biology_1080","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNlrlmGu2Gs-HAP3ACRksbRHmO228bPRxybrN9e?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"39",2020-09-15,"18:08","PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","West","Bay-breasted Warbler_Setophaga castanea","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPF8cPpMQtgcY8GKgK_WL5zXYiEr8YPSZJyh3Oo?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Decomposed, hit sky bridge of CLSL",NA,NA
"40",2020-09-15,"18:08","PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPKXWFyoL5sLJQLoO83bW_5gduoA-0j9slZHe_E?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Decomposed, hit sky bridge of CLSL",NA,NA
"41",2020-09-15,"18:10","PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","West","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP-eNBwSJLRuTWr6FfmD34A1n9rTBMZ7A2DXHeN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Sky bridge of CLSL",NA,NA
"42",2020-09-15,"17:30","PM","North Quad","North Campus Parking Deck_1094","Yes","North","House Sparrow_Passer domesticus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/MEzu5zyZuFh2MDmC6",NA,NA,NA
"43",2020-09-15,"17:45","PM","North Quad","Beckman Institute_228","Yes","East","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Pic One  Two","Bay breasted warbler?",NA,NA
"44",2020-09-15,"17:52","PM","North Quad","Electrical and Computer Engineering_409","Yes","East","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Pic One Two",NA,NA,NA
"45",2020-09-15,"17:37","PM","South Quad","Business Instructional Facility_1206","Yes","South",NA,"Alive","Bird flew away",NA,NA,NA,NA
"46",2020-09-15,"17:18","PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"47",2020-09-16,"7:48","AM","South Quad","Business Instructional Facility_1206","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/snMemj1itUyXXrZJ7","Heavily scavenged, hiding in the corner, so probably was there before surveys started 9/14",NA,NA
"48",2020-09-16,"8:11","AM","South Quad","Law Building_156","Yes","North","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/Q5CDFg1T8efhfyzg6","Found in same exact spot as Swainson's thrush found 9/14 AM",NA,NA
"49",2020-09-16,"7:00","AM","North Quad","Beckman Institute_228","Yes","South","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"50",2020-09-16,"17:32","PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","North",NA,"Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOFmjqW2boH3sTxXHI0Hv6DjacHNKfPTD8bUgM0?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird in our ASL freezer, will move to Morrill after I've finished all my surveys **also sorry for entering these a bit late, hectic week",NA,NA
"51",2020-09-16,"17:54","PM","South Quad","Education Building_160","Yes","North","Ruby-throated Hummingbird_Archilochus colubris","Dead","Other (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNwhP7_cr9Po_s8wIoCGq-DRwv_01tH5-YpySXP?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird in our ASL freezer, will move to Morrill after I've finished all my surveys",NA,NA
"52",2020-09-16,"18:08","PM","South Quad","Krannert Art Museum_220","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Alive","Bird flew away","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPiBm61OaMFdHp9vd7ClZt8MRcHIbNJfrOpx8wR?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"53",2020-09-17,"6:45","AM","North Quad","Siebel Center for Computer Science_563","Yes","North","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add",NA,NA,NA
"54",2020-09-17,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Gray-cheeked Thrush_Catharus minimus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"55",2020-09-17,"6:55","AM","North Quad","Beckman Institute_228","Yes","North","Red-breasted Nuthatch_Sitta canadensis","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"56",2020-09-17,"7:05","AM","North Quad","Electrical and Computer Engineering_409","Yes","South","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"57",2020-09-17,"7:45","AM","Main Quad","Morrill Hall_242","Yes","West","Swainson's Thrush_Catharus ustulatus","Alive","Bird flew away",NA,"Had in my hand for 30min, eventually got it to leave",NA,NA
"58",2020-09-17,"8:10","AM","North Quad","Beckman Institute_228","Yes","West","Red-eyed Vireo_Vireo olivaceus","Dead","Other (explain in notes)",NA,NA,NA,NA
"59",2020-09-17,"8:10","AM","North Quad","Beckman Institute_228","Yes","West","Magnolia Warbler_Setophaga magnolia","Alive","Bird flew away","Did not get a pic, flew upon arrival",NA,NA,NA
"60",2020-09-17,"7:49","AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","One.       Two","In the freezer on the east side of Morrill",NA,NA
"61",2020-09-17,"8:28","AM","South Quad","Law Building_156","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","1 2","In the freezer on the east side of Morrill",NA,NA
"62",2020-09-17,"17:48","PM","South Quad","Krannert Art Museum_220","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMTIwIADmt76gKX-rotpL48WGOM99_x5x0WMaY-?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNWvWrbVvt6Yoyw5914PvJodPg_9UTgtbfIAJlK?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA
"63",2020-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-09-17,"14:49","PM","North Quad","Siebel Center for Computer Science_563","Yes","North","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/photo/AF1QipPn7X0hl-oIjAy7BuD3CQjKZ3gey-B3YUkx2TEN",NA,NA,NA
"65",2020-09-17,"14:59","PM","North Quad","North Campus Parking Deck_1094","Yes","West","Thrush (?)","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/photo/AF1QipPV67G0jqT7WliZ1S7MKgdsBUnU03HCBeJt2wpP","bird was very decomposed, very hard to ID",NA,NA
"66",2020-09-17,"15:16","PM","North Quad","Beckman Institute_228","Yes","North","Red-breasted Nuthatch_Sitta canadensis","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/photo/AF1QipOr6-WkhyUz69gjtresW3BfIlq9YBXHoGtICTJx",NA,NA,NA
"67",2020-09-17,"15:23","PM","North Quad","Coordinated Science Laboratory_148","Yes","North","Hermit Thrush_Catharus guttatus (?)","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/photo/AF1QipNe5e36Q3jqQNMFZFzILeEWYPgOr3780xL0zWw4","not sure which thrush",NA,NA
"68",2020-09-18,"7:05","AM","North Quad","Electrical and Computer Engineering_409","Yes","South","Ovenbird_Seiurus aurocapilla","Alive","Bird flew away",NA,NA,NA,NA
"69",2020-09-18,"7:15","AM","North Quad","Beckman Institute_228","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","Will add pictures",NA,NA,NA
"70",2020-09-18,"7:20","AM","North Quad","Beckman Institute_228","Yes","North","American Redstart_Setophaga ruticilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"71",2020-09-18,"7:25","AM","North Quad","Beckman Institute_228","Yes","West","Swainson's Thrush_Catharus ustulatus","Alive","Bird flew away",NA,NA,NA,NA
"72",2020-09-18,"7:18","AM","South Quad","Integrated Bioprocessing Research Laboratory_1233","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/tn3HBHRKbVuVc9Z78","Decomposed under shrubs; probably was just missed on previous surveys",NA,NA
"73",2020-09-18,"7:43","AM","South Quad","Business Instructional Facility_1206","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/CWyZDiPg2yUJbDoS6",NA,NA,NA
"74",2020-09-18,"7:45","AM","South Quad","Business Instructional Facility_1206","Yes","South","Nashville Warbler_Oreothlypis ruficapilla","Alive","Bird flew away","https://photos.app.goo.gl/6LDT22JQVJFARxNx8","Bird stunned, picked up and brought to bushes and it flew into them",NA,NA
"75",2020-09-18,"8:08","AM","South Quad","Law Building_156","Yes","East","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/xSdmvUyVuAeH3PaR6","Note card says window face was West but it is supposed to say East",NA,NA
"76",2020-09-18,"17:15","PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","East","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/4DeXNcgAbymBLkvR8",NA,NA,NA
"77",2020-09-18,"17:29","PM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/bmCsRwY8dp5VBDaFA",NA,NA,NA
"78",2020-09-18,"17:48","PM","South Quad","Education Building_160","Yes","North","Red-breasted Nuthatch_Sitta canadensis","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/8uDYRuSme8kBgArs7",NA,NA,NA
"79",2020-09-18,"17:52","PM","South Quad","Education Building_160","Yes","West","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/1dSWf11Rz4q6dUnX7",NA,NA,NA
"80",2020-09-18,"18:03","PM","South Quad","Business Instructional Facility_1206","Yes","South","Red-breasted Nuthatch_Sitta canadensis","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/pHAHynrpiePFbYxW6",NA,NA,NA
"81",2020-09-18,"18:23","PM","South Quad","Law Building_156","Yes","North","Blackpoll Warbler_Setophaga striata","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/fH6P5hYBu6rs1BJ39",NA,NA,NA
"82",2020-09-19,"7:18","AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","East","Ovenbird_Seiurus aurocapilla","Alive","Did not pickup (explain in notes)",NA,"At north entrance; flew away before photo",NA,NA
"83",2020-09-19,"7:26","AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","East","Pine Warbler_Setophaga pinus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/77MQBb35fsmmJQQU6","At south entrance",NA,NA
"84",2020-09-19,"7:48","AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Rose-breasted Grosbeak_Pheucticus ludovicianus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/MFvGJavrvRBBkvMH7",NA,NA,NA
"85",2020-09-19,"7:57","AM","South Quad","Education Building_160","Yes","West","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/j1rn237rH5syZGdc9",NA,NA,NA
"86",2020-09-19,"8:13","AM","South Quad","Business Instructional Facility_1206","Yes","South","Nashville Warbler_Oreothlypis ruficapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/56Dxeqww899MpRJfA",NA,NA,NA
"87",2020-09-19,"8:15","AM","South Quad","Business Instructional Facility_1206","Yes","South","Chestnut-sided Warbler_Setophaga pensylvanica","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/56Dxeqww899MpRJfA",NA,NA,NA
"88",2020-09-19,"9:01","AM","Main Quad","Carl R. Woese Institute for Genomic Biology_1080","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/xtXYgrT83abHWCGv7","On west side of bldg, but hit the north facing windows",NA,NA
"89",2020-09-19,"17:20","PM","North Quad","National Center for Supercomputing Applications_564","Yes","North","Rose-breasted Grosbeak_Pheucticus ludovicianus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/Ujv7JR1N7CVPedjd7","i accidentally wrote sibel on the tags",NA,NA
"90",2020-09-19,"17:20","PM","North Quad","National Center for Supercomputing Applications_564","Yes","North","Rose-breasted Grosbeak_Pheucticus ludovicianus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/SWhjCbDzEaiAo4Dd9","i accidentally wrote sibel on the tags",NA,NA
"91",2020-09-19,"17:35","PM","North Quad","Beckman Institute_228","Yes","West","Scarlet Tanager_Piranga olivacea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/pvnUfXDFex5EyN1w5",NA,NA,NA
"92",2020-09-19,"18:00","PM",NA,"Newmark Civil Engineering Building_24",NA,"East",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"Found off route while walking by",NA,NA
"93",2020-09-19,"17:45","PM",NA,"Carl R. Woese Institute for Genomic Biology_1080",NA,"West",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"found off route walking by",NA,NA
"94",2020-09-19,"17:24","PM","South Quad","Law Building_156","Yes","North",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"beak was physically separated from the body from impact",NA,NA
"95",2020-09-19,"15:15","PM","South Quad","Temple Hoyne Buell Hall_339","Yes","South",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,NA,NA,NA
"96",2020-09-19,"17:02","PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"also found skull of another bird in same location, but did not collect this",NA,NA
"97",2020-09-19,"16:41","PM",NA,"Illini Union Bookstore_106",NA,"North",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"found off route while walking by",NA,NA
"98",2020-09-19,"10:40","AM","North Quad","North Campus Parking Deck_1094","Yes","North","Nashville Warbler_Oreothlypis ruficapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPZDTcFBuCTFRKLV17s1uaejhs8ib8yRLBnWlbu?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
